Skew Scale,Structure ID,Unique Structures,Alpha,Power,Probability of Structure,Expected Observations,Minimum Required Sample Size
0.5,0,1000,0.01,0.8,0.0005064563636167584,5064.563636167584,26
0.5,0,1000,0.01,0.9,0.0005064563636167584,5064.563636167584,32
0.5,0,1000,0.05,0.8,0.0005064563636167584,5064.563636167584,17
0.5,0,1000,0.05,0.9,0.0005064563636167584,5064.563636167584,23
0.5,1,1000,0.01,0.8,0.0010122207451484324,10122.207451484324,26
0.5,1,1000,0.01,0.9,0.0010122207451484324,10122.207451484324,32
0.5,1,1000,0.05,0.8,0.0010122207451484324,10122.207451484324,17
0.5,1,1000,0.05,0.9,0.0010122207451484324,10122.207451484324,23
0.5,2,1000,0.01,0.8,0.0005714775979081697,5714.775979081697,26
0.5,2,1000,0.01,0.9,0.0005714775979081697,5714.775979081697,32
0.5,2,1000,0.05,0.8,0.0005714775979081697,5714.775979081697,17
0.5,2,1000,0.05,0.9,0.0005714775979081697,5714.775979081697,23
0.5,3,1000,0.01,0.8,8.03328437849487e-05,803.3284378494869,26
0.5,3,1000,0.01,0.9,8.03328437849487e-05,803.3284378494869,32
0.5,3,1000,0.05,0.8,8.03328437849487e-05,803.3284378494869,17
0.5,3,1000,0.05,0.9,8.03328437849487e-05,803.3284378494869,23
0.5,4,1000,0.01,0.8,0.0007853560914277153,7853.560914277153,26
0.5,4,1000,0.01,0.9,0.0007853560914277153,7853.560914277153,32
0.5,4,1000,0.05,0.8,0.0007853560914277153,7853.560914277153,17
0.5,4,1000,0.05,0.9,0.0007853560914277153,7853.560914277153,23
0.5,5,1000,0.01,0.8,0.0014032845745139632,14032.845745139632,26
0.5,5,1000,0.01,0.9,0.0014032845745139632,14032.845745139632,32
0.5,5,1000,0.05,0.8,0.0014032845745139632,14032.845745139632,17
0.5,5,1000,0.05,0.9,0.0014032845745139632,14032.845745139632,23
0.5,6,1000,0.01,0.8,0.001423230318463741,14232.30318463741,26
0.5,6,1000,0.01,0.9,0.001423230318463741,14232.30318463741,32
0.5,6,1000,0.05,0.8,0.001423230318463741,14232.30318463741,17
0.5,6,1000,0.05,0.9,0.001423230318463741,14232.30318463741,23
0.5,7,1000,0.01,0.8,0.00032559612357294413,3255.9612357294413,26
0.5,7,1000,0.01,0.9,0.00032559612357294413,3255.9612357294413,32
0.5,7,1000,0.05,0.8,0.00032559612357294413,3255.9612357294413,17
0.5,7,1000,0.05,0.9,0.00032559612357294413,3255.9612357294413,23
0.5,8,1000,0.01,0.8,0.0008356042882097762,8356.042882097763,26
0.5,8,1000,0.01,0.9,0.0008356042882097762,8356.042882097763,32
0.5,8,1000,0.05,0.8,0.0008356042882097762,8356.042882097763,17
0.5,8,1000,0.05,0.9,0.0008356042882097762,8356.042882097763,23
0.5,9,1000,0.01,0.8,0.0002705489363641593,2705.4893636415927,26
0.5,9,1000,0.01,0.9,0.0002705489363641593,2705.4893636415927,32
0.5,9,1000,0.05,0.8,0.0002705489363641593,2705.4893636415927,17
0.5,9,1000,0.05,0.9,0.0002705489363641593,2705.4893636415927,23
0.5,10,1000,0.01,0.8,8.529734390624196e-05,852.9734390624196,26
0.5,10,1000,0.01,0.9,8.529734390624196e-05,852.9734390624196,32
0.5,10,1000,0.05,0.8,8.529734390624196e-05,852.9734390624196,17
0.5,10,1000,0.05,0.9,8.529734390624196e-05,852.9734390624196,23
0.5,11,1000,0.01,0.8,0.0004529088497576311,4529.088497576311,26
0.5,11,1000,0.01,0.9,0.0004529088497576311,4529.088497576311,32
0.5,11,1000,0.05,0.8,0.0004529088497576311,4529.088497576311,17
0.5,11,1000,0.05,0.9,0.0004529088497576311,4529.088497576311,23
0.5,12,1000,0.01,0.8,0.0002863628258679416,2863.628258679416,26
0.5,12,1000,0.01,0.9,0.0002863628258679416,2863.628258679416,32
0.5,12,1000,0.05,0.8,0.0002863628258679416,2863.628258679416,17
0.5,12,1000,0.05,0.9,0.0002863628258679416,2863.628258679416,23
0.5,13,1000,0.01,0.8,0.0023929002932603395,23929.002932603395,26
0.5,13,1000,0.01,0.9,0.0023929002932603395,23929.002932603395,32
0.5,13,1000,0.05,0.8,0.0023929002932603395,23929.002932603395,17
0.5,13,1000,0.05,0.9,0.0023929002932603395,23929.002932603395,23
0.5,14,1000,0.01,0.8,0.0009751185718558489,9751.185718558489,26
0.5,14,1000,0.01,0.9,0.0009751185718558489,9751.185718558489,32
0.5,14,1000,0.05,0.8,0.0009751185718558489,9751.185718558489,17
